Date,Groupe,Passage,Clarté de la définition,Pertinence de l’exemple choisi, Lisibilité du pseudo code,Qualité du support,Qualité du discours oral,Motivation de la stratégie,Remarque libre
02/02/2021 13:40:41,1,1,4,3,1,4,3,3,
02/02/2021 13:40:43,1,1,1,1,1,1,5,1,C'est long
02/02/2021 13:40:58,1,1,4,4,3,5,5,4,
02/02/2021 13:41:01,1,1,5,4,3,5,4,4,
02/02/2021 13:41:04,1,1,4,4,2,5,4,4,
02/02/2021 13:41:08,1,1,6,6,6,6,6,6,
02/02/2021 13:41:12,1,1,4,4,1,4,6,1,
02/02/2021 13:41:14,1,1,3,3,4,4,2,3,
02/02/2021 13:41:15,1,1,5,5,2,5,3,5,
02/02/2021 13:41:19,1,1,3,4,1,2,3,4,
02/02/2021 13:41:20,1,1,6,6,1,6,6,6,
02/02/2021 13:41:26,1,1,6,6,5,6,5,6,
02/02/2021 13:41:28,1,1,5,3,1,4,3,3,
02/02/2021 13:41:31,1,1,4,4,3,4,3,2,
02/02/2021 13:41:32,1,1,5,6,6,6,5,6,
02/02/2021 13:41:33,1,1,5,5,2,4,6,5,
02/02/2021 13:41:38,1,1,5,5,4,6,5,4,
02/02/2021 13:41:45,1,1,4,4,3,3,4,3,
02/02/2021 13:41:52,1,1,5,5,4,5,5,5,
02/02/2021 13:42:11,1,1,6,6,1,6,6,6,
02/02/2021 13:42:13,1,1,3,4,2,5,4,5,
02/02/2021 13:44:56,1,1,4,3,2,4,3,3,Un peu trop long + le pseudo est trop détaillé
02/02/2021 13:46:16,1,1,4,4,2,3,3,4,
02/02/2021 13:46:27,1,1,6,6,6,6,6,6,Cédric best waifu <3
02/02/2021 13:46:47,1,1,4,3,2,3,4,5,Code python pas clair mais bel effort
02/02/2021 13:46:56,1,1,4,4,4,4,4,3,long 
02/02/2021 13:50:43,1,1,3,6,2,5,4,5,
02/02/2021 13:52:23,1,1,4,5,3,5,4,4,
02/02/2021 13:52:25,1,1,4,4,5,6,4,5,
02/02/2021 13:52:39,1,1,3,3,3,2,4,3,
02/02/2021 13:52:52,1,1,3,4,2,3,3,3,
02/02/2021 13:52:54,1,1,4,4,4,4,4,4,
02/02/2021 13:52:56,1,1,5,5,3,4,4,3,
02/02/2021 13:52:58,1,1,4,4,5,4,3,3,
02/02/2021 13:53:58,1,1,5,5,4,4,5,5,
02/02/2021 13:54:02,1,1,1,3,5,3,3,3,
02/02/2021 13:54:08,1,1,1,1,1,1,1,1,
02/02/2021 13:54:21,1,1,1,1,1,1,1,1,
02/02/2021 13:54:22,1,1,2,4,2,3,2,3,
02/02/2021 13:55:47,1,1,5,6,5,6,5,6,
02/02/2021 13:56:29,1,1,5,5,5,5,5,5,
02/02/2021 13:57:16,1,1,4,4,4,4,4,4,
02/02/2021 14:11:10,1,1,1,1,1,1,1,1,
02/02/2021 14:12:43,1,1,1,1,1,1,1,1,
02/02/2021 14:30:19,1,1,6,3,3,3,3,3,
02/02/2021 14:31:01,1,1,4,4,5,4,3,3,
02/02/2021 14:31:11,1,1,6,6,6,6,6,6,GG Léo :) (issou!!)
02/02/2021 14:31:23,1,1,6,5,5,5,6,5,
02/02/2021 14:31:27,1,1,6,6,6,6,6,6,Stratégie simple et efficace
02/02/2021 14:31:34,1,1,3,4,4,3,3,3,
02/02/2021 14:32:51,1,1,4,4,4,4,4,3,
